"ID";"year";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"HRADISTE";1985;40,38;25,35;60,76;57,66;139,46;123,5;91,32;177,27;37,6;21,4;101;48,9
"HRADISTE";1986;50,97;27,91;39,09;55,36;105,15;87,54;171,7;98,22;27,71;46,42;23,23;55,07
"HRADISTE";1987;80,79;57,64;73,83;42,25;148,36;137,08;167,5;53,32;106,13;23,53;44,2;73,03
"HRADISTE";1988;32,96;64,34;84,57;34,33;65,65;120,94;103,69;84,91;48,15;36,99;57,57;77,56
"HRADISTE";1989;14,39;22,74;27,06;103,2;78,15;105,15;100,76;91,86;84,69;28,31;32,39;26,19
"HRADISTE";1990;6,09;75,31;38,88;75,54;73,11;118,31;52,78;65,34;79,09;45,18;57,04;40,29
"HRADISTE";1991;11,86;14,89;41,79;47,26;130,15;89,61;121,57;89,3;28,81;16,02;71,96;82,08
"HRADISTE";1992;21,11;46,54;82,91;42,21;16,14;121,02;117,84;92,6;75,48;92,52;68,69;46,1
"HRADISTE";1993;50,63;41,26;39,48;24,04;55,97;146,02;127,35;103,56;101,47;72,09;49,3;59,35
"HRADISTE";1994;21,85;10,73;66,62;91,52;80,01;52,83;61,88;98,27;63,26;42,6;42,52;63
"HRADISTE";1995;37,47;34,02;55,52;63,6;111,9;129,47;81,69;168,26;123,53;18,78;81,74;60,91
"HRADISTE";1996;44,43;18,57;49,14;96,6;230,85;115,67;90,87;111,94;65,75;126,59;63,81;38,07
"HRADISTE";1997;8,35;32,94;83,59;105,28;56,77;96,62;268,11;74,31;29,82;59,66;79,81;62,54
"HRADISTE";1998;27,71;10,31;77,84;56,13;80,54;125,62;142,99;36,08;76,74;77,26;46,81;23,84
"HRADISTE";1999;23,5;72,14;29,99;50,82;80,75;68,94;147,73;82,71;43,82;21,62;50,91;58,93
"HRADISTE";2000;39,24;34,78;108,14;10,86;88,62;80,56;159,95;122,85;57,96;78,23;33,99;41,74
"HRADISTE";2001;46,73;18,95;63,32;105,11;78,54;96,58;115,75;164,11;111,33;19,44;41,15;69,26
"HRADISTE";2002;14,73;54,06;82,63;24,05;64,97;141,76;92,93;432,76;82,53;143,28;82,52;66,33
"HRADISTE";2003;68,26;9,39;37,28;18,18;94,24;91,39;109,13;71,67;49;97,72;22,55;47,22
"HRADISTE";2004;63,69;68,61;88,77;79,34;99,63;183,49;97,3;48,77;58,77;64,36;69,99;4,14
"HRADISTE";2005;54,64;81,79;27,82;101,58;99,64;85,14;184,41;174,24;108,06;15,86;36,74;36,27
"HRADISTE";2006;81,24;31,76;115,47;89,82;113,66;182,66;44,85;164,16;8,71;10,78;40,13;15,17
"HRADISTE";2007;75,99;24,78;82,06;2,4;108,82;81,09;128,47;114,78;209,17;55,29;70,39;45,77
"HRADISTE";2008;27,79;19,99;54,82;97,02;82,1;71,48;142,18;93,12;91,31;31,39;61,83;40,14
"HRADISTE";2009;26,42;95,3;100,73;30,9;130,43;274,89;173,81;138,99;47,12;99,21;42,47;60,65
"HRADISTE";2010;65,64;40,6;46,44;87,05;160,21;128,75;188,63;149,85;76,27;24,59;47,18;49,93
"HRADISTE";2011;48,01;12,2;59,01;39,02;138,32;101,95;155,56;58,3;113,73;87,16;1,28;37,83
"HRADISTE";2012;83,24;34,17;14,79;67,85;103,81;144,66;230;152,03;77,93;46,07;34,15;68,63
"HRADISTE";2013;128,9;58,14;50,02;17,07;171,98;298,73;72,61;98,34;61,66;50,83;37,34;15,1
"HRADISTE";2014;40,97;12,61;43,68;63,84;200,2;45,67;161,07;194,88;138,1;86,01;27,41;42,58
"HRADISTE";2015;60,63;15,49;50,53;32,74;109,71;126,87;49,25;64,24;66,7;92,67;87,5;23
"METIKALOV";1901;93,5;70,35;79,89;55,91;85,06;76,08;49,58;22,24;21,66;60,77;38,78;55,94
"METIKALOV";1902;36,57;38,5;76,65;69,42;77,18;105,09;141,91;69,73;47,56;89,68;53,76;45,31
"METIKALOV";1903;77,6;26,62;62,59;30;71,59;54,07;75,19;71,96;33,47;36,79;56,98;61,55
"METIKALOV";1904;37,94;49,91;19,08;68;57,96;47,48;112,64;108,11;58,23;88,84;7,92;102,29
"METIKALOV";1905;39,55;75,67;40,62;70,65;58,63;41,51;20,27;11,02;71,2;63,15;103,44;17,89
"METIKALOV";1906;65,98;68,81;66,62;64,08;52,23;50,35;124,98;147,32;69,46;101,59;81,78;49,74
"METIKALOV";1907;44,68;27,14;83,44;34,35;85,9;50,76;65,46;50,63;104,59;33,46;47,62;23,92
"METIKALOV";1908;81,68;38,18;76,99;45,83;42;78,74;108,78;38,36;23,81;30,09;48,6;54,58
"METIKALOV";1909;38,24;73,59;34,01;70,39;52,75;94,55;72,56;72,74;56,03;2,13;28,44;80,71
